repo_name,is_opt_final,is_opt_arch_keyword,is_opt_arch_llm,is_opt_arch_final
opendtrace,文件不存在,文件不存在,文件不存在,文件不存在
openeb,文件不存在,文件不存在,文件不存在,文件不存在
openedr,文件不存在,文件不存在,文件不存在,文件不存在
openempire,0,0,0,0
openenclave,3,0,0,0
openevse_esp32_firmware,0,0,0,0
openexr,1,0,0,0
openexr-viewer,文件不存在,文件不存在,文件不存在,文件不存在
openfabmap,1,0,0,0
openfhe-development,0,0,0,0
openflow,0,0,0,0
openfoam-adapter,0,0,0,0
openfodder,0,0,0,0
openfortigui,文件不存在,文件不存在,文件不存在,文件不存在
openfortivpn-webview,文件不存在,文件不存在,文件不存在,文件不存在
openfpga,0,0,0,0
openfreestyle,文件不存在,文件不存在,文件不存在,文件不存在
openfx,0,0,0,0
openfx-misc,1,0,0,0
opengametools,1,0,0,0
opengl-canvas-wasm,文件不存在,文件不存在,文件不存在,文件不存在
opengl-framework,文件不存在,文件不存在,文件不存在,文件不存在
opengl-raytracing,文件不存在,文件不存在,文件不存在,文件不存在
opengl-series,文件不存在,文件不存在,文件不存在,文件不存在
opengl-tutorials,文件不存在,文件不存在,文件不存在,文件不存在
opengl_examples,文件不存在,文件不存在,文件不存在,文件不存在
openglbook.com,文件不存在,文件不存在,文件不存在,文件不存在
openglcpp,文件不存在,文件不存在,文件不存在,文件不存在
opengles3-book,1,0,0,0
openglfx,文件不存在,文件不存在,文件不存在,文件不存在
opengloves-driver,0,0,0,0
opengltutor,文件不存在,文件不存在,文件不存在,文件不存在
opengm,1,1,1,0
opengnb,0,0,0,0
opengv,0,0,0,0
openh264,1,0,0,0
openhantek,文件不存在,文件不存在,文件不存在,文件不存在
openhaystack-firmware,文件不存在,文件不存在,文件不存在,文件不存在
openheatmap,文件不存在,文件不存在,文件不存在,文件不存在
openiBoot,0,0,0,0
openil_linuxptp,0,0,0,0
openitg,0,0,0,0
openjazz,文件不存在,文件不存在,文件不存在,文件不存在
openjdk-jfx,0,0,0,0
openjpeg,3,0,0,0
openlager,文件不存在,文件不存在,文件不存在,文件不存在
openlase,0,0,0,0
openldap,6,0,0,0
openlibm,0,0,0,0
openlierox,6,1,1,0
openlitespeed,文件不存在,文件不存在,文件不存在,文件不存在
openmcu,0,0,0,0
openmiko,文件不存在,文件不存在,文件不存在,文件不存在
openmm,12,0,0,0
openmm-torch,0,0,0,0
openmohaa,2,0,0,0
openmom,文件不存在,文件不存在,文件不存在,文件不存在
openmonero,0,0,0,0
openmovement,文件不存在,文件不存在,文件不存在,文件不存在
