repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
moderncpp,205,140,44,1,1,1,0,文件不存在,文件不存在,文件不存在
moderncpp_public,21,17,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moderngpu,148,79,31,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modizer,676,105,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modloader,296,51,33,3,3,3,2,2,2,0
modm,6746,2241,894,29,29,29,4,4,4,1
modmanager,837,161,44,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modmap,1,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modorganizer,4185,1703,1198,36,36,36,25,25,25,4
modoru,26,20,9,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modreveal,5,3,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modular_tree,404,234,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
module_overloading,46,38,15,1,1,1,1,1,1,0
modwm,149,63,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
modxo,24,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moflow,49,26,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mojoAL,152,130,122,12,12,12,1,1,1,0
mojoshader,1424,1075,978,18,18,18,3,3,3,1
mojozork,220,196,156,2,2,2,0,文件不存在,文件不存在,文件不存在
moksha,18365,12292,9160,118,118,118,38,7,7,0
mola,1288,521,193,4,4,4,1,1,1,0
mold,7138,3526,2415,79,79,79,25,25,25,12
molecular-plus,409,291,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mollang,129,86,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
momentum,319,142,63,9,9,9,4,4,4,1
momo,2466,1375,239,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mona,6412,2297,1497,12,12,12,6,6,6,5
monacoin,23696,11484,6525,366,366,366,198,文件不存在,文件不存在,文件不存在
monero,11891,6740,4558,192,192,192,99,99,99,41
monero-gui,4982,3069,218,2,2,2,0,文件不存在,文件不存在,文件不存在
monero-pool,245,147,114,5,5,5,4,4,4,3
moneta,251,50,36,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moneymanagerex,21199,15201,3643,98,98,98,52,52,52,23
mongo,85832,32666,16852,605,603,603,339,339,339,96
mongo-bi-connector-odbc-driver,2034,919,538,2,2,2,2,2,2,0
mongo-c-driver,7568,3825,2189,49,49,49,25,25,25,4
mongo-c-driver-legacy,756,369,277,7,7,7,3,3,3,0
mongo-cxx-driver,1923,741,285,7,7,7,3,3,3,0
mongo-rocks,477,205,159,11,11,11,7,7,7,4
mongo-snippets,152,126,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mongo_fdw,26,15,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mongolite,773,418,100,1,1,1,0,文件不存在,文件不存在,文件不存在
mongoose,5961,2863,1675,38,38,38,8,8,8,3
mongoose-os,4741,2091,1053,36,36,36,11,11,11,7
mongrel2,1885,847,451,7,7,7,2,2,2,0
monicelli,330,206,80,1,1,1,0,文件不存在,文件不存在,文件不存在
monique-monosynth,605,113,65,7,7,7,4,4,4,0
monitor-core,2517,1612,641,12,12,12,4,4,4,4
monitoring-plugins,4419,3075,1703,45,45,45,21,13,21,1
monitr,96,52,14,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monkey,724,408,67,1,1,1,0,文件不存在,文件不存在,文件不存在
mono-slam,17,12,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mono_dataset_code,13,10,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monocle-micropython,750,319,165,5,5,5,3,3,3,0
monocular_person_following,66,27,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monodepth-cpp,35,27,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monolinux-jiffy,178,88,9,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monolish,3982,1844,688,6,6,6,4,4,4,4
monome-rack,525,255,63,2,2,2,2,2,2,1
monomorph,18,9,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monosat,1504,466,253,22,22,22,7,7,7,1
monster,344,58,57,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monster-mash,21,4,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
monte-carlo-ray-tracer,158,37,6,1,1,1,1,1,1,1
monte-carlo-tree-search,61,46,26,3,3,3,1,1,1,1
